Contig	Mar_OO	Apr_OO	May_lateOO	May_EE	May_ME	Jun_Lar
TRINITY_DN32067_c0_g1_i1	11.0	3.0	4.0	0.0	6.0	15.0
TRINITY_DN38176_c0_g1_i1	0.0	1.0	4.0	0.0	3.0	0.0
TRINITY_DN120350_c0_g1_i1	0.0	0.0	4.0	2.0	1.0	0.0
TRINITY_DN121643_c0_g1_i1	0.0	1.0	4.0	3.0	1.0	1.0
TRINITY_DN7261_c0_g1_i1	6.0	23.0	4.0	0.0	3.0	46.0
TRINITY_DN127116_c0_g1_i1	2.0	0.0	4.0	0.0	0.0	0.0
TRINITY_DN105145_c0_g1_i1	0.0	0.0	4.0	0.0	1.0	0.0
TRINITY_DN126770_c0_g1_i1	0.0	0.0	4.0	0.0	2.0	0.0
TRINITY_DN23853_c0_g1_i1	0.0	0.0	4.0	0.0	1.0	1.0
TRINITY_DN76005_c0_g1_i1	0.0	0.0	4.0	0.0	0.0	0.0
TRINITY_DN94732_c0_g1_i1	0.0	0.0	4.0	0.0	1.0	0.0
TRINITY_DN43928_c0_g2_i1	0.0	1.0	4.0	0.0	3.0	0.0
TRINITY_DN27399_c0_g1_i1	0.0	0.0	4.0	5.0	1.0	0.0
TRINITY_DN20617_c0_g2_i1	0.0	0.0	4.0	0.0	0.0	0.0
TRINITY_DN96925_c0_g1_i1	0.0	0.0	4.0	1.0	0.0	0.0
TRINITY_DN53068_c0_g1_i1	0.0	0.0	4.0	0.0	0.0	0.0
TRINITY_DN2350_c0_g3_i2	10.0	0.0	4.0	1.0	123.0	0.0
TRINITY_DN62507_c0_g1_i1	0.0	0.0	4.0	0.0	0.0	0.0
TRINITY_DN56625_c0_g1_i1	0.0	2.0	4.0	0.0	1.0	0.0
TRINITY_DN15456_c0_g1_i1	1.0	0.0	4.0	0.0	0.0	0.0
TRINITY_DN40735_c0_g2_i1	0.0	0.0	4.0	0.0	1.0	1.0
TRINITY_DN40746_c0_g1_i1	0.0	0.0	4.0	1.0	1.0	1.0
TRINITY_DN43594_c0_g1_i1	0.0	0.0	4.0	0.0	0.0	0.0
TRINITY_DN91176_c0_g1_i1	0.0	6.0	4.0	0.0	4.0	0.0
TRINITY_DN91181_c0_g1_i1	0.0	4.0	4.0	0.0	4.0	0.0
TRINITY_DN28409_c0_g1_i1	0.0	1.0	4.0	0.0	2.0	0.0
TRINITY_DN20125_c0_g3_i1	0.0	0.0	4.0	1.0	0.0	0.0
TRINITY_DN42241_c0_g1_i2	2.0	1.0	4.0	0.0	1.0	0.0
TRINITY_DN67972_c0_g1_i1	0.0	0.0	4.0	0.0	0.0	0.0
TRINITY_DN24691_c0_g1_i2	1.0	1.0	4.0	1.0	1.0	0.0
TRINITY_DN18428_c0_g1_i2	0.0	0.0	4.0	0.0	3.0	0.0
TRINITY_DN3782_c0_g1_i21	2.6	3.0	4.0	0.0	0.0	6.8
TRINITY_DN20380_c1_g1_i1	0.0	15.0	4.0	0.0	0.0	0.0
TRINITY_DN13519_c0_g2_i5	1.6	3.0	4.0	0.0	1.0	10.8
TRINITY_DN54281_c0_g1_i2	0.0	0.0	3.6	0.0	2.0	0.0
TRINITY_DN17219_c0_g1_i4	5.4	2.3	3.6	0.0	0.0	0.0
TRINITY_DN2577_c0_g1_i4	4.3	10.4	3.6	0.0	8.4	4.7
TRINITY_DN16989_c0_g1_i6	0.0	3.2	3.5	0.0	0.0	0.0
TRINITY_DN93_c1_g1_i27	7.3	6.0	3.4	0.0	3.5	14.8
TRINITY_DN39400_c0_g1_i10	0.0	0.0	3.4	0.0	0.0	18.0
TRINITY_DN15885_c0_g1_i4	0.0	10.0	3.2	0.0	0.0	4.3
TRINITY_DN975_c0_g1_i3	4.1	4.9	3.2	0.0	0.0	8.6
TRINITY_DN5883_c0_g1_i1	4.0	32.0	3.0	0.0	19.0	4.0
TRINITY_DN468_c0_g1_i14	34.1	31.9	3.0	0.0	5.0	40.2
TRINITY_DN76978_c0_g1_i1	3.0	0.0	3.0	1.0	0.0	0.0
TRINITY_DN20184_c1_g2_i1	9.0	2.0	3.0	0.0	1.0	4.0
TRINITY_DN9225_c0_g1_i1	0.0	5.0	3.0	0.0	0.0	0.0
TRINITY_DN39236_c0_g1_i1	2.0	1.0	3.0	0.0	2.0	5.0
TRINITY_DN32205_c0_g1_i1	2.0	0.0	3.0	0.0	0.5	4.7
TRINITY_DN90916_c0_g1_i1	4.0	1.0	3.0	1.0	0.0	0.0
TRINITY_DN30756_c0_g1_i1	13.0	6.0	3.0	0.0	6.0	19.0
TRINITY_DN41318_c0_g1_i2	0.0	0.0	3.0	1.0	1.0	0.0
TRINITY_DN19583_c0_g1_i1	8.0	2.9	3.0	0.0	11.0	4.2
TRINITY_DN975_c0_g1_i2	12.0	11.0	3.0	0.0	2.0	14.0
TRINITY_DN53716_c0_g2_i1	2.0	0.0	3.0	1.0	1.0	0.0
TRINITY_DN24469_c0_g1_i15	9.0	0.0	3.0	0.0	0.0	30.0
TRINITY_DN105636_c0_g1_i1	0.0	2.0	3.0	0.0	0.0	0.0
TRINITY_DN20456_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN30735_c1_g1_i2	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN59374_c0_g1_i1	11.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN34945_c0_g1_i1	0.0	0.0	3.0	2.0	0.0	0.0
TRINITY_DN53716_c0_g1_i1	1.0	2.0	3.0	0.0	0.0	0.0
TRINITY_DN28552_c0_g3_i1	0.0	0.0	3.0	0.0	0.0	0.0
