OTU_ID	DNA1	DNA2	DNA3	Hp01	Hp02	Hp03	Hp04	Hp05	Hp06	Hp07	Hp08	Hp09	Hp10	Hp11	Hp12	Hp13	Hp14	Hp15	Hp16	Hp17	Hp18	Hp19	Hp20	Hp21	Hp22	Hp23	Hp24	Hp25	Hp26	Hp27	Hp28	Hp29	Hp30	Hp31	Hp32	Hp33	Hp34	Hp35	Hp36	Hp37	Hp38	Hp39	Hp40	Hp41	Hp42	Hp43	Hp44	Hp45	Hp46	Hp47	Hp48	Hp49	Hp50	Hp51	Hp52	Hp53	Hp54	Hp55	Hp56	Hp57	Hp58	Hp59	Hp60	Hp61	Hp62	Hp63	Hp64	Hp65	Hp66	Hp67	Hp68	Hp69	Hp70	Hp71	Hp72	Hp73	Hp74	Hp75	Hp76	Hp77	Hp78	Hp79	Hp80	Hp81	Hp82	Hp83	Hp84	Hp85	Hp86	Hp87	Hp88	Hp89
Zotu62	0	0	0	22	1	0	45	33	0	1	233	278	46	321	197	185	123	346	60	55	79	67	81	162	50	116	114	29	126	82	71	20	62	0	1	9	0	0	14	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	21	0	0	0	0	0	0	0	0	0
Zotu21	0	0	0	97	361	50	51	119	15	74	194	433	314	25	59	21	19	15	4	3	6	0	0	8	2	0	0	0	2	1	1	9	3	14	7	19	44	9	4	1	6	5	22	0	11	2	8	7	187	173	320	327	36	227	93	267	100	89	63	128	64	67	137	85	105	96	95	283	165	433	27	68	25	41	107	139	110	34	42	88	41	75	36	39	88	141	34	184	149	152	87	326
Zotu467	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu922	0	0	0	34	0	0	0	40	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	6	0
Zotu196	0	0	0	68	0	39	14	142	0	0	16	26	9	2	8	7	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	6	10	0	17	3	14	15	12	24	23	5	6	28
Zotu4	0	0	0	543	543	403	94	1725	686	1448	1359	4938	6389	80	47	59	323	176	37	24	32	82	22	215	38	60	86	43	7	17	10	24	85	855	266	471	191	266	120	28	267	67	151	243	39	63	39	99	1415	2031	2722	675	996	580	714	1128	1342	794	654	543	1484	880	474	27	122	176	85	669	502	825	137	266	221	429	619	475	289	662	17	0	10	0	0	0	0	0	49	1	0	103	1	64
Zotu1287	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu236	0	0	0	55	0	0	0	0	0	0	0	39	24	10	36	7	14	30	2	1	9	5	22	11	3	6	16	0	19	7	2	3	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	3	11	0	0	6	0	0	0	0	12	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	3	0	1	0	0	16	0	3
Zotu117	0	0	0	54	1	0	63	11	0	0	1	0	20	46	65	27	6	52	84	54	86	57	74	14	22	34	56	7	66	48	17	10	16	9	1	11	4	5	13	0	4	0	2	9	4	3	0	0	2	0	8	0	0	21	0	5	18	3	0	28	0	0	13	2	0	0	57	0	0	0	0	0	0	0	23	11	19	0	0	0	8	0	0	0	5	0	0	0	8	0	0	0
Zotu958	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
